# where T1/2 is the beta-decay half-life in seconds
# from http://t2.lanl.gov/nis/data/astro/molnix96/tbeta.html
# direct link: http://t2.lanl.gov/nis/data/astro/molnix96/bethlp.dat
#   Z    N T1/2
   48   50 3.92988E+01
   48   51 3.98255E+01
   48   52 1.33350E+02
   48   53 1.40377E+02
   48   54 5.70475E+02
   48   55 9.23510E+01
   48   56 6.35520E+04
   48   57 1.57075E+03
   48   59 4.07498E+03
   48   61 3.03333E+09
   49   43 5.53846E-03
   49   44 1.29605E-02
   49   45 1.15968E-02
   49   46 3.27147E-02
   49   47 2.47870E-02
   49   48 1.70409E-01
   49   49 9.31227E-02
   49   50 3.94024E+00
   49   51 6.65706E+00
   49   52 1.94538E+01
   49   53 3.30132E+01
   49   54 1.62512E+01
   49   55 9.14018E+00
   49   56 4.91513E+01
   49   57 5.52799E+01
   49   58 2.99824E+02
   49   59 3.47637E+02
   49   60 1.63128E+03
   49   61 3.54179E+03
   49   62 1.05078E+04
   49   63 6.93147E+09
   49   65 6.93147E+09
   49   67 6.93147E+09
   50   44 8.36933E-03
   50   45 7.53572E-03
   50   46 2.25345E-02
   50   47 1.52683E-02
   50   48 1.02477E-01
   50   49 4.17543E-02
   50   50 1.81134E+00
   50   51 3.48828E+00
   50   52 1.75840E+01
   50   53 1.84895E+01
   50   54 2.23958E+01
   50   55 3.56391E+01
   50   56 1.07354E+02
   50   57 1.48722E+02
   50   58 5.46811E+02
   50   59 8.74267E+01
   50   60 8.44376E+04
   50   61 5.86381E+02
   50   63 2.64889E+03
   51   46 4.46819E-03
   51   47 3.50501E-03
   51   48 8.37800E-03
   51   49 5.64104E-03
   51   50 2.06848E-02
   51   51 2.58343E-02
   51   52 9.17240E-02
   51   53 1.67365E-01
   51   54 3.17530E-01
   51   55 7.00895E-01
   51   56 1.36052E+00
   51   57 1.42369E+00
   51   58 9.40427E+00
   51   59 1.01359E+01
   51   60 1.71374E+01
   51   61 8.30337E+01
   51   62 2.22402E+02
   51   63 4.97557E+02
   51   64 2.46266E+03
   51   65 2.65896E+04
   51   66 3.63263E+04
   51   67 1.03819E+06
   51   68 6.93147E+09
   51   69 6.93147E+09
   51   71 6.93147E+09
   51   73 6.93147E+09
   52   47 5.57197E-03
   52   48 2.40254E-02
   52   49 8.64180E-03
   52   50 5.93580E-02
   52   51 6.88470E-02
   52   52 3.96869E-01
   52   53 3.67516E-01
   52   54 1.57999E+00
   52   55 8.99362E-01
   52   56 5.96906E+00
   52   57 3.06204E+00
   52   58 2.20653E+01
   52   59 3.72692E+01
   52   60 8.14113E+01
   52   61 3.55202E+01
   52   62 8.69056E+02
   52   63 6.51997E+01
   52   64 1.12073E+04
   52   65 7.52509E+02
   52   66 7.51590E+10
   52   67 6.04307E+04
   52   69 6.93147E+09
   52   71 6.93147E+09
   53   48 6.69839E-03
   53   49 3.80826E-03
   53   50 9.86129E-03
   53   51 1.25226E-02
   53   52 3.92731E-02
   53   53 3.13708E-02
   53   54 1.00446E-01
